REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
DE ÑUBLE,3016,DISTRITO 19,6019,PORTEZUELO,2839
DE ÑUBLE,3016,DISTRITO 19,6019,QUILLON,2832
DE ÑUBLE,3016,DISTRITO 19,6019,QUIRIHUE,2835
DE ÑUBLE,3016,DISTRITO 19,6019,RANQUIL,2840
DE ÑUBLE,3016,DISTRITO 19,6019,SAN CARLOS,2842
DE ÑUBLE,3016,DISTRITO 19,6019,SAN FABIAN,2845
DE ÑUBLE,3016,DISTRITO 19,6019,SAN IGNACIO,2833
DE ÑUBLE,3016,DISTRITO 19,6019,SAN NICOLAS,2846
DE ÑUBLE,3016,DISTRITO 19,6019,TREHUACO,2841
DE ÑUBLE,3016,DISTRITO 19,6019,YUNGAY,2834
DEL BIOBIO,3008,DISTRITO 20,6020,CHIGUAYANTE,2644
DEL BIOBIO,3008,DISTRITO 20,6020,CONCEPCION,2642
DEL BIOBIO,3008,DISTRITO 20,6020,CORONEL,2643
DEL BIOBIO,3008,DISTRITO 20,6020,FLORIDA,2645
DEL BIOBIO,3008,DISTRITO 20,6020,HUALPEN,2653
DEL BIOBIO,3008,DISTRITO 20,6020,HUALQUI,2646
DEL BIOBIO,3008,DISTRITO 20,6020,PENCO,2648
DEL BIOBIO,3008,DISTRITO 20,6020,SAN PEDRO DE LA PAZ,2649
DEL BIOBIO,3008,DISTRITO 20,6020,SANTA JUANA,2650
DEL BIOBIO,3008,DISTRITO 20,6020,TALCAHUANO,2651
DEL BIOBIO,3008,DISTRITO 20,6020,TOME,2652
DEL BIOBIO,3008,DISTRITO 21,6021,ALTO BIOBIO,2674
DEL BIOBIO,3008,DISTRITO 21,6021,ANTUCO,2662
DEL BIOBIO,3008,DISTRITO 21,6021,ARAUCO,2655
DEL BIOBIO,3008,DISTRITO 21,6021,CABRERO,2663
DEL BIOBIO,3008,DISTRITO 21,6021,CAÑETE,2656
DEL BIOBIO,3008,DISTRITO 21,6021,CONTULMO,2657
DEL BIOBIO,3008,DISTRITO 21,6021,CURANILAHUE,2658
DEL BIOBIO,3008,DISTRITO 21,6021,LAJA,2664
DEL BIOBIO,3008,DISTRITO 21,6021,LEBU,2654
DEL BIOBIO,3008,DISTRITO 21,6021,LOS ALAMOS,2659
DEL BIOBIO,3008,DISTRITO 21,6021,LOS ANGELES,2661
DEL BIOBIO,3008,DISTRITO 21,6021,LOTA,2647
DEL BIOBIO,3008,DISTRITO 21,6021,MULCHEN,2665
DEL BIOBIO,3008,DISTRITO 21,6021,NACIMIENTO,2666
DEL BIOBIO,3008,DISTRITO 21,6021,NEGRETE,2667
DEL BIOBIO,3008,DISTRITO 21,6021,QUILACO,2668
DEL BIOBIO,3008,DISTRITO 21,6021,QUILLECO,2669
DEL BIOBIO,3008,DISTRITO 21,6021,SAN ROSENDO,2670
DEL BIOBIO,3008,DISTRITO 21,6021,SANTA BARBARA,2671
DEL BIOBIO,3008,DISTRITO 21,6021,TIRUA,2660
DEL BIOBIO,3008,DISTRITO 21,6021,TUCAPEL,2672
DEL BIOBIO,3008,DISTRITO 21,6021,YUMBEL,2673
DE LA ARAUCANIA,3009,DISTRITO 22,6022,ANGOL,2696
DE LA ARAUCANIA,3009,DISTRITO 22,6022,COLLIPULLI,2697
DE LA ARAUCANIA,3009,DISTRITO 22,6022,CURACAUTIN,2698
DE LA ARAUCANIA,3009,DISTRITO 22,6022,ERCILLA,2699
DE LA ARAUCANIA,3009,DISTRITO 22,6022,GALVARINO,2680
DE LA ARAUCANIA,3009,DISTRITO 22,6022,LAUTARO,2682
DE LA ARAUCANIA,3009,DISTRITO 22,6022,LONQUIMAY,2700
DE LA ARAUCANIA,3009,DISTRITO 22,6022,LOS SAUCES,2701
DE LA ARAUCANIA,3009,DISTRITO 22,6022,LUMACO,2702
DE LA ARAUCANIA,3009,DISTRITO 22,6022,MELIPEUCO,2684
DE LA ARAUCANIA,3009,DISTRITO 22,6022,PERQUENCO,2687
DE LA ARAUCANIA,3009,DISTRITO 22,6022,PUREN,2703
DE LA ARAUCANIA,3009,DISTRITO 22,6022,RENAICO,2704
DE LA ARAUCANIA,3009,DISTRITO 22,6022,TRAIGUEN,2705
DE LA ARAUCANIA,3009,DISTRITO 22,6022,VICTORIA,2706
DE LA ARAUCANIA,3009,DISTRITO 22,6022,VILCUN,2693
DE LA ARAUCANIA,3009,DISTRITO 23,6023,CARAHUE,2676
DE LA ARAUCANIA,3009,DISTRITO 23,6023,CHOLCHOL,2695
DE LA ARAUCANIA,3009,DISTRITO 23,6023,CUNCO,2677
DE LA ARAUCANIA,3009,DISTRITO 23,6023,CURARREHUE,2678
DE LA ARAUCANIA,3009,DISTRITO 23,6023,FREIRE,2679
DE LA ARAUCANIA,3009,DISTRITO 23,6023,GORBEA,2681
DE LA ARAUCANIA,3009,DISTRITO 23,6023,LONCOCHE,2683
DE LA ARAUCANIA,3009,DISTRITO 23,6023,NUEVA IMPERIAL,2685
DE LA ARAUCANIA,3009,DISTRITO 23,6023,PADRE LAS CASAS,2686
DE LA ARAUCANIA,3009,DISTRITO 23,6023,PITRUFQUEN,2688
DE LA ARAUCANIA,3009,DISTRITO 23,6023,PUCON,2689
DE LA ARAUCANIA,3009,DISTRITO 23,6023,SAAVEDRA,2690
DE LA ARAUCANIA,3009,DISTRITO 23,6023,TEMUCO,2675
DE LA ARAUCANIA,3009,DISTRITO 23,6023,TEODORO SCHMIDT,2691
DE LA ARAUCANIA,3009,DISTRITO 23,6023,TOLTEN,2692
DE LA ARAUCANIA,3009,DISTRITO 23,6023,VILLARRICA,2694
DE LOS RIOS,3014,DISTRITO 24,6024,CORRAL,2811
DE LOS RIOS,3014,DISTRITO 24,6024,FUTRONO,2819
DE LOS RIOS,3014,DISTRITO 24,6024,LA UNION,2818
DE LOS RIOS,3014,DISTRITO 24,6024,LAGO RANCO,2820
DE LOS RIOS,3014,DISTRITO 24,6024,LANCO,2812
DE LOS RIOS,3014,DISTRITO 24,6024,LOS LAGOS,2813
DE LOS RIOS,3014,DISTRITO 24,6024,MAFIL,2814
DE LOS RIOS,3014,DISTRITO 24,6024,MARIQUINA,2815
DE LOS RIOS,3014,DISTRITO 24,6024,PAILLACO,2816
DE LOS RIOS,3014,DISTRITO 24,6024,PANGUIPULLI,2817
DE LOS RIOS,3014,DISTRITO 24,6024,RIO BUENO,2821
DE LOS RIOS,3014,DISTRITO 24,6024,VALDIVIA,2810
DE LOS LAGOS,3010,DISTRITO 25,6025,FRESIA,2710
DE LOS LAGOS,3010,DISTRITO 25,6025,FRUTILLAR,2711
DE LOS LAGOS,3010,DISTRITO 25,6025,LLANQUIHUE,2713
DE LOS LAGOS,3010,DISTRITO 25,6025,LOS MUERMOS,2712
DE LOS LAGOS,3010,DISTRITO 25,6025,OSORNO,2726
DE LOS LAGOS,3010,DISTRITO 25,6025,PUERTO OCTAY,2727
DE LOS LAGOS,3010,DISTRITO 25,6025,PUERTO VARAS,2715
DE LOS LAGOS,3010,DISTRITO 25,6025,PURRANQUE,2728
DE LOS LAGOS,3010,DISTRITO 25,6025,PUYEHUE,2729
